character_id,person_id,language
2058,471,Japanese
2059,2060,Japanese
2061,992,Japanese
2062,349,Japanese
2063,253,Japanese
2064,900,Japanese
2065,1474,Japanese
2066,374,Japanese
2067,642,Japanese
2068,1843,Japanese
637,296,Japanese
638,639,Japanese
640,186,Japanese
643,351,Japanese
641,642,Japanese
644,645,Japanese
648,94,Japanese
650,651,Japanese
952,154,Japanese
2070,336,Japanese
2077,220,Japanese
2078,607,Japanese
2080,266,Japanese
2081,110,Japanese
2082,349,Japanese
2083,142,Japanese
2084,709,Japanese
2085,2086,Japanese
2087,664,Japanese
2091,2092,Japanese
2093,877,Japanese
2094,1328,Japanese
2095,296,Japanese
2096,2097,Japanese
